name,date,score,time,time_of_day

Zerg Rush,03-12-21,14,0,1
Zerg Rush,03-12-21,4,0,2
Zerg Rush,03-12-21,40,0,3
Zerg Rush,03-12-21,44,0,4
Zerg Rush,03-12-21,0,0,5
Zerg Rush,03-16-21,104,50,6
Zerg Rush,03-16-21,5,4,7
Zerg Rush,04-12-21,104,59,8
Letter Game,04-12-21,21449,65,9
Zerg Rush,04-12-21,21,13,10
Letter Game,04-12-21,0,3,11
Letter Game,04-12-21,0,1,12
Zerg Rush,04-12-21,0,4,34811
Letter Game,04-13-21,0,11,29372
Zerg Rush,04-13-21,38,24,29415
Letter Game,04-13-21,23069,49,29487
Letter Game,04-13-21,0,3,29508
Zerg Rush,04-13-21,46,25,29546
Zerg Rush,04-13-21,67,32,29589
Zerg Rush,04-13-21,1584,134,29856
Zerg Rush,04-13-21,0,21,29877
Letter Game,04-13-21,0,6.0,30084
Letter Game,04-13-21,0,1,30129
Letter Game,04-13-21,253,11,30526
Letter Game,04-13-21,25248,26,31469
Letter Game,04-13-21,26260,16,31536
Letter Game,04-13-21,-39060,16,31646
Letter Game,04-13-21,-1680,16,31807
Letter Game,04-15-21,2040,3,31406
Letter Game,04-15-21,2030,4,31494
Letter Game,04-16-21,1950,11,31309
Letter Game,04-16-21,1990,7,31349
Letter Game,04-16-21,1980,8,31478
Letter Game,04-16-21,1990,7,31601
Letter Game,04-16-21,1280,71,31711
Letter Game,04-16-21,2845,7,31751
Letter Game,04-16-21,1740,78,31868
Zerg Rush,04-21-21,0,3,29380
Zerg Rush,04-21-21,1300,19,29403
Zerg Rush,04-21-21,912,55,29469
Zerg Rush,04-21-21,1148,63,29587
Zerg Rush,04-21-21,0,30,29902
Letter Game,04-21-21,1970,8,30430
Zerg Rush,04-21-21,0,2,30467
Zerg Rush,04-21-21,954,287,31999
