Date,Score,Errors,Letters Left
,,,
9/16/2020,27700,0,0
9/16/2020,47700,0,0
9/16/2020,37700,0,0
9/16/2020,24338,0,0
9/16/2020,82,0,0
09/17/2020,691,78937
09/17/2020,0,0,100
09/18/2020,19690,10,0
10/01/2020,6,3,81
10/01/2020,465,2,37
10/02/2020,0,45,89
10/02/2020,0,57,88
10/02/2020,20470,30,0
10/02/2020,0,0,100
10/02/2020,0,0,100
10/14/2020,1,1,87
10/14/2020,0,2,89
10/15/2020,0,0,100
01/05/2021,8,3,80
01/07/2021,47,3,64
01/14/2021,0,0,90
02/02/2021,0,0,95
