name,date,score,time,time_of_day

Zerg Rush,04-23-21,260,129,44838
Zerg Rush,04-23-21,640,20,44863
Zerg Rush,04-23-21,98,37,44908
Zerg Rush,04-23-21,588,80,45005
Zerg Rush,04-23-21,436,41,45051
Zerg Rush,04-23-21,822,91,45152
Letter Game,04-23-21,1240,75,45251
Letter Game,04-23-21,-2080,125,45384
Zerg Rush,04-23-21,2260,21,45505
Zerg Rush,04-23-21,2480,22,45533
Zerg Rush,04-23-21,2800,22,45560
Zerg Rush,04-23-21,1532,75,45666
Zerg Rush,05-04-21,2420,21,30535
Zerg Rush,05-04-21,2340,20,30562
Zerg Rush,05-04-21,1980,20,31393
Zerg Rush,05-04-21,2700,22,31443
Zerg Rush,05-04-21,1860,21,31468
Zerg Rush,05-04-21,2120,21,31497
Zerg Rush,05-04-21,1196,70,31623
Zerg Rush,05-04-21,2260,20,31733
Zerg Rush,05-04-21,2240,22,31761
Zerg Rush,05-04-21,2440,21,31822
Letter Game,05-04-21,2415,14,31860
Letter Game,05-05-21,636,20,30173
Zerg Rush,05-05-21,2100,21,30211
Zerg Rush,05-05-21,2320,21,30255
Zerg Rush,05-05-21,2220,20,30278
Zerg Rush,05-05-21,2240,21,30301
Zerg Rush,05-05-21,2320,21,30359
Zerg Rush,05-05-21,2300,21,30384
Zerg Rush,05-05-21,2120,22,30408
Zerg Rush,05-05-21,1700,20,30431
Zerg Rush,05-05-21,2060,21,30455
Zerg Rush,05-05-21,2620,22,30480
Zerg Rush,05-05-21,1164,319,31162
Zerg Rush,05-05-21,1516,167,31433
Zerg Rush,05-05-21,10,5,31502
Zerg Rush,05-05-21,5,7,31534
Zerg Rush,05-05-21,1779,136,31818
Zerg Rush,05-06-21,2676,342,30192
Zerg Rush,05-06-21,3276,118,30522
Zerg Rush,05-06-21,3088,82,30731
Zerg Rush,05-06-21,3136,171,31190
Zerg Rush,05-06-21,3872,89,31488
Zerg Rush,05-06-21,3492,75,31743
Zerg Rush,05-06-21,3460,30,31906
Zerg Rush,05-07-21,2700,28,30562
Zerg Rush,05-07-21,3006,29,30694
Zerg Rush,05-07-21,3636,34,30734
Letter Game,05-14-21,2813,6,30333
Letter Game,05-14-21,1068,2,30350
Letter Game,05-14-21,2754,6,30375
Zerg Rush,05-14-21,2268,24,30500
Zerg Rush,05-14-21,54,6,30512
Zerg Rush,05-14-21,2970,31,30662
Zerg Rush,05-14-21,3168,32,30710
Zerg Rush,05-14-21,3564,75,30806
Zerg Rush,05-14-21,3300,116,30948
Zerg Rush,05-26-21,2934,31,58726
Zerg Rush,08-26-21,3690,76,49132
Zerg Rush,08-26-21,216,7,49193
Zerg Rush,08-30-21,306,6,54564
Zerg Rush,08-30-21,972,20,54796
Zerg Rush,09-03-21,1818,26,47888
Zerg Rush,09-03-21,2250,28,47919
Zerg Rush,09-03-21,2322,28,47949
Zerg Rush,09-03-21,2106,27,47978
Zerg Rush,09-03-21,2304,29,48010
Zerg Rush,09-03-21,2304,28,48043
Zerg Rush,09-03-21,2268,27,48103
Zerg Rush,09-03-21,2052,28,48136
Zerg Rush,09-03-21,270,8,48146
Zerg Rush,09-03-21,2151,64,48213
Zerg Rush,09-03-21,2232,29,48247
