Date,Lesson,Accuracy,WPM,Idle Time

05/05/21,Letters E and H,97.0,52.0,0
05/14/21,Letters O and R,98.0,60.0,0
05/26/21,Home Row Intro,63.0,-505.0,0
08/17/21,Home Row Intro,97.0,48.0,0
