Lesson,Accuracy,WPM,IdleTime

Three Minute File 01,99,32,0
Three Minute File 02,98,39,0
Three Minute File 03,98,38,0
Three Minute File 04,98,39,0
Three Minute File 05,98,38,0
Three Minute File 06,97,41,0
Three Minute File 07,98,44,0
Three Minute File 08,98,40,0
Three Minute File 09,96,43,0
