Lesson,Accuracy,WPM,IdleTime

Three Minute File 01,99.1,41,0
Three Minute File 02,99.6,51,0
Three Minute File 03,98.1,45,0
Three Minute File 04,98.1,43,0
Three Minute File 05,99.4,48,0
Three Minute File 06,98.3,43,0
Three Minute File 07,97.7,43,0
Three Minute File 08,99.1,43,0
Three Minute File 09,99.3,44,0
Three Minute File 10,99.7,49,0
Three Minute File 07,99.4,53,0
Three Minute File 04,99.1,48,0
Three Minute File 03,95.8,39,0
