name,date,score,time,time_of_day

Zerg Rush,04-27-21,0,21,30099
Zerg Rush,04-27-21,0,21,30555
Zerg Rush,04-27-21,81,53,30827
Zerg Rush,04-27-21,67,44,30905
Zerg Rush,04-27-21,1640,21,30930
Zerg Rush,04-27-21,1484,74,31032
Zerg Rush,04-28-21,221,108,29681
Zerg Rush,04-29-21,328,144,31694
Zerg Rush,04-29-21,8,23,31769
Zerg Rush,05-10-21,12,7,31807
Zerg Rush,05-10-21,27,5,31860
Zerg Rush,05-10-21,0,3,31884
Zerg Rush,05-12-21,0,4,29572
Zerg Rush,09-01-21,2682,112,55700
Zerg Rush,09-01-21,1422,26,55801
