name,date,score,time,time_of_day

Letter Game,08-19-21,950,96,49034
Letter Game,08-19-21,590,89,49137
Letter Game,08-19-21,390,1,49198
Letter Game,08-19-21,304,19,49231
Letter Game,08-19-21,317,19,49257
