Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,98.7,22,0
Day 09 - Part 2,94.8,16,0
Day 09 - Part 3,98.7,27,0
Day 09 - Part 4 - Learn W,100.0,26,0
Day 09 - Part 5 - Learn N,96.7,22,0
Day 09 - Part 6,99.3,24,0
Day 09 - Part 7,98.7,20,0
Day 09 - Part 8,99.3,23,0
Day 09 - Part 9,96.8,14,0
Day 09 - Part 2,100.0,19,0
Day 09 - Part 5 - Learn N,98.7,27,0
Day 09 - Part 9,98.7,18,0
Day 09 - Part 1,100.0,32,0
Day 09 - Part 3,100.0,32,0
Day 09 - Part 7,100.0,29,0
Day 09 - Part 5 - Learn N,99.3,29,1
Day 09 - Part 9,99.4,19,0
Day 09 - Part 5 - Learn N,100.0,31,0
Day 09 - Part 8,99.3,30,0
Day 09 - Part 6,99.3,32,0
Day 09 - Part 8,100.0,32,0
Day 09 - Part 6,70.6,-31,0
