Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,98,48,3
9/24/2020,Review 3                        ,97,63,2
9/28/2020,Evaluate Speed,96,59,0
9/29/2020,Review 5                        ,98,55,1
9/30/2020,Review 6                        ,99,60,4
10/1/2020,Review 7                        ,98,58,0
10/2/2020,Review 3                        ,0,0,0
10/2/2020,Numbers 1 and 7                 ,99,56,7
10/5/2020,Numbers 4 and 8                 ,100,57,0
10/7/2020,Numbers 3 and 0                 ,100,53,0
10/8/2020,Numbers 2 and 6                 ,100,55,0
10/9/2020,Evaluate Speed,96,66,0
10/14/2020,Review Numbers                  ,99,50,0
10/15/2020,Evaluate Speed                  ,99,65,0
10/16/2020,Dollar Sign and Forward Slash   ,97,42,3
10/20/2020,Percent and Hyphen              ,100,44,2
10/22/2020,Open and Close Parentheses      ,98,44,2
10/27/2020,Evaluate Speed-05,99,63,0
10/28/2020,Bible Verses 1-1,99,62,0
10/29/2020,At Symbol and Asterisk,98,48,0
10/29/2020,All Symbols,99,41,0
10/30/2020,Review 2,98,59,0
11/2/2020,Review 5-1,97,57,0
11/03/20,Bible Verses 2-1,99.0,60.0,0
11/04/20,Evaluate Speed-06,99.0,60.0,2
11/05/20,Bible Verses 1-2 WB,100.0,74.0,0
11/06/20,Build Speed 1-1 WB,100.0,77.0,0
11/10/20,Build Speed 2-1 WB,100.0,70.0,0
11/11/20,Review 5-2 WB,100.0,68.0,0
11/12/20,Bible Verses 2-2 WB,100.0,72.0,0
11/13/20,Evaluate Speed-07 WB,100.0,79.0,1
11/16/20,Bible Verses 1-3 WB,100.0,69.0,0
11/17/20,Build Speed 1-2 WB,100.0,83.0,0
11/18/20,Build Speed 2-2 WB,100.0,76.0,0
11/19/20,Review 5-3 WB,100.0,71.0,0
11/20/20,Bible Verses 2-3 WB,100.0,79.0,0
11/23/20,Evaluate Speed-08 WB,100.0,76.0,0
11/30/20,Bible Verses 1-4 WB,100.0,74.0,0
12/01/20,Build Speed 1-3 WB,100.0,86.0,0
12/02/20,Build Speed 2-3 WB,100.0,76.0,0
12/03/20,Review 5-4 WB,100.0,74.0,0
12/04/20,Bible Verses 2-4 WB,100.0,82.0,0
12/07/20,Evaluate Speed-09 WB,100.0,83.0,1
12/08/20,Bible Verses 1-5 WB,100.0,76.0,0
12/10/20,Build Speed 1-4 WB,100.0,91.0,0
12/11/20,Build Speed 2-4 WB,100.0,76.0,0
12/14/20,Review 5-5 WB,100.0,75.0,0
12/15/20,Bible Verses 2-5 WB,100.0,80.0,0
12/16/20,Evaluate Speed-10 WB,100.0,81.0,1
12/17/20,Evaluate Speed-11 WB,100.0,79.0,0
12/18/20,Review 5-5 WB,100.0,76.0,0
