Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/19/2021,Home Row Intro,100,43,143
8/24/2021,Spacebar and Home Row,100,49,6
8/25/2021,Letters E and H,100,51,4
8/26/2021,Letters O and R,100,57,0
8/27/2021,Review-L04,100,56,0
8/30/2021,Letters I and T,100,68,0
8/31/2021,Left Shift and Period,100,58,0
9/1/2021,Letters U and C,100,52,1
9/2/2021,Review-L08,100,66,0
9/3/2021,Letters N and W,100,58,0
09/07/21,Letter G and Right Shift,100.0,51.0,2
09/08/21,Letters B and P,100.0,49.0,0
09/09/21,Review-L12,100.0,51.0,0
09/10/21,Letters M and X,100.0,44.0,0
09/13/21,Letters Y and Z,100.0,43.0,0
09/14/21,Letter Q and Comma,100.0,40.0,0
09/15/21,Review-L16,100.0,45.0,1
09/16/21,Letter V and Colon,100.0,49.0,0
09/17/21,Caps Lock and Question Mark,99.0,41.0,0
09/20/21,Quotations & Apsotrophe & Hyphen,100.0,46.0,0
09/21/21,Evaluate Speed-01,99.0,45.0,0
09/22/21,Review 1-01,100.0,46.0,0
