Date,Score,Errors,Letters Left

12/02/2020,20888,12,0
12/02/2020,0,69,98
12/02/2020,0,103,100
12/02/2020,20193,7,0
12/02/2020,0,111,100
12/02/2020,0,111,100
12/03/2020,21095,5,0
12/03/2020,21293,7,0
12/03/2020,20691,9,0
12/03/2020,20194,6,0
12/03/2020,20896,4,0
12/03/2020,20795,5,0
12/03/2020,20589,11,0
12/04/2020,21198,2,0
12/04/2020,21094,6,0
12/04/2020,20885,15,0
12/04/2020,20992,8,0
12/07/2020,21492,8,0
12/07/2020,21387,13,0
12/07/2020,20396,4,0
12/07/2020,19895,5,0
12/08/2020,21089,11,0
12/08/2020,19597,3,0
12/08/2020,19396,4,0
12/08/2020,19595,5,0
12/08/2020,18995,5,0
12/10/2020,0,0,100
12/10/2020,18798,2,0
12/10/2020,21387,13,0
12/10/2020,20693,7,0
12/11/2020,21494,6,0
12/11/2020,20994,6,0
12/11/2020,21393,7,0
12/11/2020,20694,6,0
12/11/2020,20599,1,0
12/11/2020,22997,3,0
12/14/2020,20987,13,0
12/14/2020,21293,7,0
12/14/2020,21395,5,0
12/15/2020,21095,5,0
12/15/2020,21195,5,0
12/18/2020,20389,11,0
12/18/2020,21296,4,0
01/11/2021,21784,16,0
