Lesson,Accuracy,WPM,IdleTime

Day 01 - Part 1 - Learn Spacebar,96.3,41,0
Day 01 - Part 4,97.7,52,0
Day 01 - Part 5,100.0,65,0
Day 02 - Part 1,94.8,42,0
Day 02 - Part 2 - Learn E,98.7,60,0
Day 02 - Part 3 - Learn H,97.4,46,0
Day 02 - Part 4,95.5,49,0
Day 02 - Part 5,97.2,60,0
