Lesson,Accuracy,WPM,IdleTime

Day 23 - Part 1,99.0,32,0
Day 23 - Part 2 - Learn 1,99.0,29,0
Day 23 - Part 3 - Learn 7,98.0,25,0
Day 23 - Part 4,96.0,18,0
Day 23 - Part 5,98.0,28,0
Day 23 - Part 6,99.0,37,0
Day 23 - Part 4,98.0,25,0
Day 23 - Part 3 - Learn 7,99.0,33,0
Day 23 - Part 4,99.0,28,0
Day 23 - Part 5,99.0,32,0
Day 23 - Part 4,98.0,24,0
