Date,Score,Errors,Letters Left

09/24/2020,20592,8,0
10/02/2020,21385,15,0
10/02/2020,24402,298,0
10/02/2020,24619,281,0
10/02/2020,13044,456,0
10/02/2020,20023,77,0
10/05/2020,290,108,37
12/04/2020,21592,8,0
