Number,Part,Backspace,Forced100,Time

1,Scripture - 3 Min - Advanced - 1 Peter 1 v 3-9,1,0,180
2,Scripture - 3 Min - Advanced - Psalm 27,1,0,180
3,Scripture - 5 Min - Advanced - Psalm 139,1,0,300
4,Scripture - 5 Min - Advanced - Romans,1,0,300
5,Scripture - 5 Min - Advanced - Selections 1,1,0,300
6,Scripture - 5 Min - Advanced - Selections 2,1,0,300
