Number,Part,Backspace,Forced100,Time

1,Day 32 - Part 5,0,0,180
2,Day 32 - Part 6,0,0,180
3,Day 32 - Part 7,0,0,180
4,Day 33 - Part 1 - Learn At Symbol,0,0,180
5,Day 33 - Part 2 - Learn Asterisk,0,0,180
6,Day 33 - Part 3,0,0,180
