Number,Part,Backspace,Forced100,Time

1,Day 09 - Part 1,0,0,180
2,Day 09 - Part 2,0,0,180
3,Day 09 - Part 3,0,0,180
4,Day 09 - Part 4 - Learn W,0,0,180
5,Day 09 - Part 5 - Learn N,0,0,180
6,Day 09 - Part 6,0,0,180
7,Day 09 - Part 7,0,0,180
8,Day 09 - Part 8,0,0,180
9,Day 09 - Part 9,0,0,180
