Number,Part,Backspace,Forced100,Time

1,Day 24 - Part 4,0,0,180
2,Day 25 - Part 1,0,0,240
3,Day 25 - Part 2 - Learn 5,0,0,240
4,Day 25 - Part 3 - Learn 9,0,0,240
5,Day 25 - Part 4,0,0,240
6,Day 25 - Part 5,0,0,240
7,Day 25 - Part 6,0,0,240
8,Day 25 - Part 7,0,0,240
