Number,Part,Backspace,Forced100,Time

1,Scripture - 1 Min - Novice - John 3 v 16,1,0,60
2,Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,1,0,180
3,Scripture - 3 Min - Novice - Eph 2 v 4-10,1,0,180
4,Scripture - 3 Min - Novice - Isaiah 40 v 28-31,1,0,180
5,Scripture - 3 Min - Novice - Psalm 23,1,0,180
6,Scripture - 3 Min - Novice - Psalm 71 v 1-8,1,0,180
7,Scripture - 5 Min - Advanced - Selections 1,1,0,300
