Part,Lesson,Backspace,Forced100,Time

1,Day 32 - Part 5,0,0,180
2,Day 33 - Part 3,0,0,180
3,Day 34 - Part 1 - Learn Exclamation Point,0,0,180
4,Day 34 - Part 2 - Learn Less Than,0,0,180
5,Day 34 - Part 3 - Learn Greater Than,0,0,180
