Number,Part,Backspace,Forced100,Time

1,Day 12 - Part 6,0,0,180
2,Day 12 - Part 7,0,0,180
3,Day 13 - Part 1,0,0,180
4,Day 13 - Part 2 - Learn X,0,0,180
5,Day 13 - Part 3 - Learn M,0,0,180
6,Day 13 - Part 4,0,0,180
7,Day 13 - Part 5,0,0,180
8,Day 13 - Part 6,0,0,180
