Part,Lesson,Backspace,Forced100,Time
,,,,
1,Day 23 - Part 2 - Learn 1,0,0,60
2,Day 23 - Part 3 - Learn 7,0,0,60
3,Day 23 - Part 4,0,0,60
4,Day 24 - Part 2 - Learn 4,0,0,60
5,Day 24 - Part 3 - Learn 8,0,0,60
6,Day 24 - Part 4,0,0,60
7,Day 25 - Part 2 - Learn 5,0,0,60
8,Day 25 - Part 3 - Learn 9,0,0,60
9,Day 25 - Part 4,0,0,60
10,Day 26 - Part 2 - Learn 3,0,0,60
11,Day 26 - Part 3 - Learn 0,0,0,60
12,Day 26 - Part 4,0,0,60
13,Day 27 - Part 3 - Learn 2,0,0,60
14,Day 27 - Part 4 - Learn 6,0,0,60
15,Day 27 - Part 5,0,0,60
16,Day 28 - Part 5 - Left Hand,0,0,60
17,Day 28 - Part 6 - Right Hand,0,0,60
