Number,Part,Backspace,Forced100,Time

1,Scripture - 1 Min - Novice - John 3 v 16,1,0,60
2,Scripture - 1 Min - Novice - Hebrews 11 v 1,1,0,60
3,Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,1,0,120
4,Scripture - 3 Min - Novice - Psalm 23,1,0,120
5,Scripture - 3 Min - Novice - Eph 2 v 4-10,1,0,180
6,Scripture - 5 Min - Novice - Psalm 51,1,0,180
7,Scripture - 5 Min - Novice - 1 John 4 v 7-17,1,0,240
8,Scripture - 5 Min - Novice - Philippians 2 v 1-11,1,0,240
