Part,Lesson,Backspace,Forced100,Time

1,Day 24 - Part 4,0,0,180
2,Day 25 - Part 5,0,0,180
3,Day 26 - Part 1,0,0,240
4,Day 26 - Part 2 - Learn 3,0,0,240
5,Day 26 - Part 3 - Learn 0,0,0,240
6,Day 26 - Part 4,0,0,240
7,Day 26 - Part 5,0,0,240
8,Day 26 - Part 6,0,0,240
