Number,Part,Backspace,Forced100,Time

1,Day 26 - Part 4,0,0,240
2,Day 27 - Part 1,0,0,240
3,Day 27 - Part 3 - Learn 2,0,0,240
4,Day 27 - Part 4 - Learn 6,0,0,240
5,Day 27 - Part 2,0,0,240
6,Day 27 - Part 5,0,0,240
7,Day 27 - Part 6,0,0,240
8,Day 27 - Part 7,0,0,240
