Part,Lesson,Backspace,Forced100,Time

1,Day 10 - Part 4,0,0,180
2,Day 10 - Part 5,0,1,180
3,Day 11 - Part 1,0,0,180
4,Day 11 - Part 2 - Learn B,0,0,180
5,Day 11 - Part 3 - Learn P,0,0,180
6,Day 11 - Part 4,0,0,180
7,Day 11 - Part 5,0,0,180
