Number,Part,Backspace,Forced100,Time

1,Day 16 - Part 4,0,0,180
2,Day 16 - Part 5,0,0,180
3,Day 17 - Part 1,0,0,180
4,Day 17 - Part 2 - Learn V,0,0,180
5,Day 17 - Part 3 - Learn Colon,0,0,180
6,Day 17 - Part 4,0,0,180
7,Day 17 - Part 5,0,0,180
