Number,Part,Backspace,Forced100,Time

1,Day 22 - Part 1,1,0,180
2,Day 22 - Part 2,1,0,180
3,Day 22 - Part 3,1,0,180
4,Day 22 - Part 4,1,0,180
5,Day 22 - Part 5,1,0,180
6,Day 22 - Part 6,1,0,180
7,Day 22 - Part 7,1,0,180
8,Day 22 - Part 8,1,0,180
9,Day 22 - Part 9,1,0,180
