Number,Part,Backspace,Forced100,Time

1,Day 01 - Part 1 - Learn Spacebar,0,0,120
2,Day 01 - Part 2 - Learn Home Row,0,0,120
3,Day 01 - Part 3,0,0,120
4,Day 01 - Part 4,0,0,120
