Part,Lesson,Backspace,Forced100,Time

1,Day 07 - Part 1,0,0,180
2,Day 07 - Part 2 - Learn C,0,0,180
3,Day 07 - Part 3 - Learn U,0,0,180
4,Day 07 - Part 4,0,0,180
5,Day 07 - Part 5,0,0,180
6,Day 07 - Part 6,0,0,180
7,Day 07 - Part 7,0,0,180
8,Day 07 - Part 8,0,0,180
