Number,Part,Backspace,Forced100,Time

1,Day 04 - Part 6,0,0,120
2,Day 04 - Part 7,0,1,120
3,Day 05 - Part 1,0,0,180
4,Day 05 - Part 2 - Learn T,0,0,180
5,Day 05 - Part 3 - Learn I,0,0,180
6,Day 05 - Part 4,0,0,180
7,Day 05 - Part 5,0,0,180
8,Day 05 - Part 6,0,0,180
9,Day 05 - Part 7,0,0,180
