name,date,score,time,time_of_day

Letter Game,08-19-21,990,92,49039
Letter Game,08-19-21,-1510,63,49160
Letter Game,08-19-21,1360,82,49267
Letter Game,08-24-21,1120,83,48939
Letter Game,08-24-21,-420,68,49045
Letter Game,08-24-21,390,1,49082
Letter Game,08-24-21,283,4,49120
Letter Game,08-24-21,1170,81,49208
Letter Game,08-24-21,1370,80,49309
Letter Game,08-25-21,1250,76,48788
Letter Game,08-25-21,1500,77,48941
Letter Game,08-25-21,449,7,49059
Letter Game,08-25-21,-2500,69,49191
Letter Game,08-25-21,1120,88,49320
Letter Game,08-25-21,637,33,49393
Letter Game,08-26-21,1020,93,48973
Letter Game,08-26-21,1040,84,49071
Letter Game,08-26-21,1060,77,49335
Letter Game,08-26-21,312,3,49388
Letter Game,08-27-21,1190,86,49135
Letter Game,08-27-21,1210,80,49266
Zerg Rush,09-02-21,378,20,49073
Zerg Rush,09-02-21,406,115,49215
Zerg Rush,09-02-21,0,1,49218
Letter Game,09-02-21,1150,89,49345
Letter Game,09-03-21,1100,96,49218
Letter Game,09-03-21,1180,89,49381
Zerg Rush,09-07-21,288,17,49344
Zerg Rush,09-07-21,48,28,49377
Letter Game,09-22-21,470,97,48933
Letter Game,09-22-21,570,80,49290
