date,time,lesson,accuracy,wpm,idle_time

18-11-22,75673,TestyThingamabob,100.0,96.0,0
19-11-22,50977,TestyThingamabob,100.0,80.0,0
21-11-22,42083,TestyThingamabob,92.0,52.0,0
