Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,72,22,5
9/23/2020,Review 1                        ,100,31,1
9/23/2020,Review 2                        ,92,30,2
9/24/2020,Review 3                        ,93,22,1
9/28/2020,Evaluate Speed,85,32,0
10/1/2020,Review 7                        ,95,26,0
10/2/2020,Numbers 1 and 7                 ,98,37,0
10/9/2020,Evaluate Speed,83,32,0
10/15/2020,Evaluate Speed,80,32,95
10/27/2020,Evaluate Speed-05,96,37,0
10/28/2020,Bible Verses 1-1,96,34,0
10/29/2020,All Symbols,95,22,2
10/30/2020,Review 2,96,34,0
11/2/2020,Review 5-1,96,34,0
11/3/2020,Bible Verses 2-1,96,38,0
11/4/2020,Evaluate Speed-06,96,41,0
11/5/2020,Bible Verses 1-2 WB,100,46,0
11/6/2020,Build Speed 1-1 WB,100,41,14
11/11/2020,Review 5-2,100,41,0
11/12/2020,Bible Verses 2-2,100,46,0
11/13/2020,Evaluate Speed-07 WB,100,48,0
11/16/2020,Bible Verses 1-3 WB,100,50,0
11/17/2020,Build Speed 1-2 WB,100,45,0
11/18/2020,Build Speed 2-2 WB,100,45,2
11/19/2020,Review 5-3 WB,100,46,0
11/20/2020,Bible Verses 2-3 WB,100,50,0
11/23/2020,Evaluate Speed-08 WB,100,53,0
11/30/2020,Bible Verses 1-4 WB,100,53,0
12/1/2020,Build Speed 1-3 WB,100,48,0
12/2/2020,Build Speed 2-3 WB,100,47,0
12/3/2020,Review 5-4 WB,100,47,0
12/4/2020,Bible Verses 2-4 WB,100,54,0
12/7/2020,Evaluate Speed-09 WB,100,58,0
12/8/2020,Bible Verses 1-5 WB,100,54,0
12/11/2020,Build Speed 2-4 WB,100,47,21
12/11/2020,Build Speed 1-4 WB,100,45,21
12/14/20,Review 5-5 WB,100.0,50.0,0
12/15/20,Bible Verses 2-5 WB,100.0,59.0,0
12/16/20,Evaluate Speed-10 WB,100.0,60.0,0
12/17/20,Evaluate Speed-11 WB,100.0,62.0,0
12/18/20,Bible Verses 2-4 WB,66.0,-232.0,0
12/18/20,Build Speed 2-4 WB,100.0,52.0,0
