Date,Lesson,Accuracy,WPM,Idle Time
,,,,
,,,,
9/21/2020,Evaluate Speed,87,24,23
10/9/2020,Evaluate Speed,85,31,10
10/15/2020,Evaluate Speed                  ,96,28,1
10/16/2020,Dollar Sign and Forward Slash   ,95,19,2
10/20/2020,Percent and Hyphen              ,93,14,14
10/22/2020,Open and Close Parentheses      ,89,8,0
10/23/2020,Symbol and Asterisk             ,94,20,0
10/27/2020,Evaluate Speed-05,96,30,1
10/28/2020,Bible Verses 1-1,96,31,7
10/29/2020,All Symbols,95,18,1
10/30/2020,Review 2,94,23,17
11/2/2020,Review 5-1,95,27,0
11/3/2020,Bible Verses 2-1,97,32,0
11/4/2020,Evaluate Speed-06,97,35,0
11/5/2020,Bible Verses 1-2 WB,100,38,0
11/6/2020,Build Speed 1-1 WB,100,40,0
11/10/2020,Build Speed 2-1 WB,100,34,0
11/11/2020,Review 5-2 WB,100,36,0
11/12/2020,Bible Verses 2-2 WB,100,41,0
11/13/2020,Evaluate Speed-07 WB,100,40,0
11/16/2020,Bible Verses 1-3 WB,100,37,1
11/17/2020,Build Speed 1-2 WB,100,43,0
11/18/2020,Build Speed 2-2 WB,100,39,10
11/19/2020,Review 5-3 WB,100,41,0
11/20/2020,Bible Verses 2-3 WB,100,42,0
11/23/2020,Evaluate Speed-08 WB,100,40,2
11/30/2020,Bible Verses 1-4 WB,100,42,0
12/1/2020,Build Speed 1-3 WB,100,44,2
12/2/2020,Build Speed 2-3 WB,100,39,0
12/3/2020,Review 5-4 WB,100,38,9
12/4/2020,Bible Verses 2-4 WB,100,40,5
12/7/2020,Evaluate Speed-09 WB,100,40,3
12/8/2020,Bible Verses 1-5 WB,100,38,4
12/10/2020,Build Speed 1-4 WB,100,41,0
12/11/20,Build Speed 2-4 WB,100.0,39.0,3
12/14/20,Review 5-5 WB,100.0,35.0,3
12/15/20,Bible Verses 2-5 WB,100.0,43.0,0
12/16/20,Evaluate Speed-10 WB,100.0,43.0,0
12/17/20,Evaluate Speed-11 WB,100.0,42.0,3
12/18/20,Review 5-5 WB,100.0,40.0,0
