Part,Lesson,Backspace,Forced100,Time

1,Day 14 - Part 5,0,0,180
2,Day 14 - Part 6,0,0,180
3,Day 15 - Part 1,0,0,180
4,Day 15 - Part 2 - Learn Q,0,0,180
5,Day 15 - Part 3 - Learn Comma,0,0,180
6,Day 15 - Part 4,0,0,180
7,Day 15 - Part 5,0,0,180
8,Day 15 - Part 6,0,0,180
