Part,Lesson,Backspace,Forced100,Time

1,Day 01 - Part 1 - Learn Spacebar,0,0,120
2,Day 01 - Part 4,0,0,120
3,Day 01 - Part 5,0,1,120
4,Day 02 - Part 1,0,0,120
5,Day 02 - Part 2 - Learn E,0,0,120
6,Day 02 - Part 3 - Learn H,0,0,120
7,Day 02 - Part 4,0,0,120
8,Day 02 - Part 5,0,0,120
