Part,Lesson,Backspace,Forced100,Time

1,Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,0,0,60
2,Scripture - 1 Min - Novice - Acts 1 v 9-11,0,0,60
3,Scripture - 1 Min - Novice - Acts 2 v 1-4,0,0,60
4,Scripture - 3 min - Advanced - 1 Peter 1 v 3-9,0,0,180
5,Scripture - 3 Min - Novice - Romans 5 v 1-8,0,0,180
6,Scripture - 3 Min - Novice - Psalm 46,0,0,180
7,Scripture - 5 Min - Novice - Isaiah 53,0,0,300
8,Scripture - 5 Min - Novice - John 1 v 1-18,0,0,300
