Part,Lesson,Backspace,Forced100,Time

1,Three Minute File 19,0,0,180
2,Three Minute File 21,0,0,180
3,Three Minute File 22,0,0,180
4,Three Minute File 23,0,0,180
5,Three Minute File 24,0,0,180
6,Three Minute File 29,0,0,180
7,Timing - Five Minutes 09,0,0,300
8,Timing - Five Minutes 14,0,0,300
9,Timing - Five Minutes 15,0,0,300
