Part,Lesson,Backspace,Forced100,Time
,,,,
1,Day 20 - Part 1,1,0,60
7,Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,1,0,60
8,Scripture - 1 Min - Novice - Acts 1 v 9-11,1,0,60
