Lesson,Accuracy,WPM,IdleTime

Day 32 - Part 5,96.5,26,0
Day 32 - Part 6,94.9,27,0
Day 32 - Part 7,96.2,28,0
Day 33 - Part 1 - Learn At Symbol,94.2,19,0
Day 33 - Part 2 - Learn Asterisk,96.0,25,0
Day 33 - Part 3,96.6,36,0
Day 33 - Part 1 - Learn At Symbol,24.5,-821,0
