Lesson,Accuracy,WPM,IdleTime

Scripture - 1 Min - Novice - John 3 v 16,100.0,80,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,100.0,74,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,100.0,73,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,100.0,71,0
Scripture - 3 Min - Novice - Psalm 23,100.0,73,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,100.0,70,0
Scripture - 5 Min - Advanced - Selections 1,100.0,65,0
Scripture - 3 Min - Novice - Psalm 71 v 1-8,100.0,75,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,14.9,-1591,0
Scripture - 1 Min - Novice - John 3 v 16,11.5,-1778,0
Scripture - 1 Min - Novice - John 3 v 16,26.8,-804,0
Scripture - 1 Min - Novice - John 3 v 16,2.4,-4609,0
Scripture - 1 Min - Novice - John 3 v 16,3.7,-3490,0
Scripture - 1 Min - Novice - John 3 v 16,11.0,-1716,0
Scripture - 1 Min - Novice - John 3 v 16,100.0,88,0
Scripture - 3 Min - Novice - Isaiah 40 v 28-31,11.3,-1796,0
