name,date,score,time,time_of_day

Letter Game,08-19-21,770,117,49064
Letter Game,08-19-21,265,2,49104
Letter Game,08-19-21,268,4,49156
Letter Game,08-19-21,-3245,62,49223
Letter Game,08-24-21,-3075,82,48952
Letter Game,08-24-21,-3895,73,49055
Letter Game,08-24-21,314,4,49122
Letter Game,08-24-21,-2170,39,49178
Letter Game,08-24-21,-220,75,49282
Letter Game,08-25-21,-3480,67,48809
Letter Game,08-25-21,-3890,42,48895
Letter Game,08-25-21,375,1,48943
Letter Game,08-25-21,383,1,48950
Letter Game,08-25-21,388,1,48958
Letter Game,08-25-21,-508,32,49006
Letter Game,08-25-21,181,18,49181
Letter Game,08-25-21,-2900,36,49243
Letter Game,08-25-21,-770,65,49371
Letter Game,08-26-21,660,128,49014
Letter Game,08-26-21,-4420,45,49095
Letter Game,08-26-21,190,20,49159
Letter Game,08-26-21,183,5,49194
Letter Game,08-26-21,360,104,49302
Letter Game,08-26-21,-480,30,49368
Letter Game,08-26-21,212,11,49387
Letter Game,08-27-21,-430,20,49041
Letter Game,08-27-21,340,107,49189
Letter Game,08-27-21,-4310,73,49285
Letter Game,08-27-21,83,32,49367
Letter Game,08-27-21,390,1,49376
Letter Game,08-27-21,390,1,49380
Letter Game,08-27-21,391,0,49393
Letter Game,08-30-21,-3550,47,48919
Letter Game,08-30-21,-150,25,49084
Letter Game,08-30-21,-1700,74,49181
Letter Game,08-30-21,1190,86,49345
Letter Game,08-30-21,268,1,49363
Letter Game,08-31-21,300,13,49117
Letter Game,08-31-21,440,10,49190
Letter Game,08-31-21,1250,84,49300
Letter Game,08-31-21,214,7,49341
Letter Game,08-31-21,90,14,49359
Letter Game,09-01-21,281,10,49107
Letter Game,09-01-21,1240,84,49201
Letter Game,09-01-21,350,10,49284
Letter Game,09-01-21,757,64,49384
Zerg Rush,09-02-21,102,40,48776
Zerg Rush,09-02-21,630,22,48823
Zerg Rush,09-02-21,98,42,48913
Zerg Rush,09-02-21,810,22,48992
Zerg Rush,09-02-21,212,65,49073
Zerg Rush,09-02-21,64,37,49126
Zerg Rush,09-02-21,50,29,49181
Zerg Rush,09-02-21,0,4,49208
Zerg Rush,09-02-21,522,45,49276
Zerg Rush,09-02-21,0,6,49345
Zerg Rush,09-02-21,46,24,49372
Zerg Rush,09-03-21,190,62,48983
Zerg Rush,09-03-21,186,25,49044
Zerg Rush,09-03-21,594,21,49092
Letter Game,09-03-21,380,10,49115
Letter Game,09-03-21,1240,82,49211
Letter Game,09-03-21,460,11,49243
Letter Game,09-03-21,521,78,49373
Zerg Rush,09-07-21,94,42,49185
Zerg Rush,09-07-21,38,16,49378
Letter Game,09-08-21,430,104,48889
Letter Game,09-08-21,580,92,49096
Zerg Rush,09-08-21,16,25,49172
Zerg Rush,09-08-21,288,20,49211
Letter Game,09-08-21,10,85,49375
Zerg Rush,09-09-21,208,66,49817
Letter Game,09-09-21,1130,97,49957
Zerg Rush,09-09-21,72,39,50026
Letter Game,09-10-21,470,11,48868
Letter Game,09-10-21,-210,13,48888
Letter Game,09-10-21,1360,73,48981
Zerg Rush,09-10-21,428,108,49129
Zerg Rush,09-10-21,0,1,49136
Letter Game,09-10-21,183,5,49202
Letter Game,09-10-21,200,127,49347
Zerg Rush,09-10-21,78,37,49402
Letter Game,09-13-21,1110,97,49260
Letter Game,09-13-21,914,87,49399
Letter Game,09-14-21,380,112,49220
Zerg Rush,09-14-21,40,29,49401
Letter Game,09-15-21,350,111,49088
Letter Game,09-15-21,-320,14,49132
Letter Game,09-15-21,-440,121,49278
Letter Game,09-15-21,540,94,49400
Letter Game,09-16-21,590,90,48988
Letter Game,09-16-21,282,35,49045
Letter Game,09-16-21,530,96,49192
Letter Game,09-16-21,350,106,49342
Zerg Rush,09-16-21,176,60,49415
Letter Game,09-17-21,-710,132,49342
Letter Game,09-20-21,387,49,49412
Letter Game,09-21-21,440,122,49064
Zerg Rush,09-21-21,16,23,49110
Zerg Rush,09-21-21,92,39,49179
Zerg Rush,09-21-21,468,21,49212
Letter Game,09-21-21,-140,11,49290
Zerg Rush,09-21-21,42,31,49349
Letter Game,09-22-21,200,10,48862
Letter Game,09-22-21,0,132,49058
Letter Game,09-22-21,500,64,49185
Zerg Rush,09-22-21,0,1,49191
Zerg Rush,09-22-21,308,85,49289
Zerg Rush,09-22-21,468,20,49346
Zerg Rush,09-22-21,0,8,49413
