name,date,score,time,time_of_day

Letter Game,08-19-21,1070,75,49013
Letter Game,08-19-21,1410,69,49104
Letter Game,08-19-21,390,1,49135
Letter Game,08-19-21,398,1,49143
Letter Game,08-19-21,390,1,49146
Letter Game,08-19-21,-2800,52,49215
Letter Game,08-19-21,-281,31,49265
Letter Game,08-24-21,1286,60,48872
Letter Game,08-24-21,-2080,51,48946
Letter Game,08-24-21,520,77,49140
Letter Game,08-24-21,390,1,49179
Letter Game,08-24-21,390,1,49184
Letter Game,08-24-21,390,1,49187
Letter Game,08-24-21,390,1,49191
Letter Game,08-24-21,398,1,49196
Letter Game,08-24-21,390,1,49198
Letter Game,08-24-21,388,1,49203
Letter Game,08-24-21,390,1,49205
Letter Game,08-24-21,398,1,49208
Letter Game,08-24-21,447,6,49220
Letter Game,08-24-21,-2835,49,49281
Letter Game,08-24-21,-2385,58,49359
Zerg Rush,08-25-21,0,2,48678
Letter Game,08-25-21,470,72,48792
Letter Game,08-25-21,1489,60,48925
Letter Game,08-25-21,457,7,49017
Letter Game,08-25-21,398,1,49061
Letter Game,08-25-21,-2860,49,49243
Letter Game,08-25-21,-2410,36,49329
Letter Game,08-26-21,1170,75,48924
Letter Game,08-26-21,319,5,48960
Letter Game,08-26-21,1510,71,49041
Letter Game,08-26-21,1465,68,49183
Letter Game,08-26-21,398,1,49214
Letter Game,08-26-21,398,1,49220
Letter Game,08-26-21,390,1,49222
Letter Game,08-26-21,398,1,49225
Letter Game,08-26-21,398,1,49229
Letter Game,08-26-21,390,1,49231
Letter Game,08-26-21,398,1,49236
Letter Game,08-26-21,149,33,49289
Letter Game,08-26-21,1390,74,49386
Letter Game,08-27-21,1240,70,48857
Letter Game,08-27-21,-1630,29,48938
Letter Game,08-27-21,-1720,70,49061
Letter Game,08-27-21,185,1,49119
Letter Game,08-27-21,398,1,49127
Letter Game,08-27-21,306,2,49139
Letter Game,08-27-21,1510,65,49207
Letter Game,08-27-21,288,10,49277
Letter Game,08-27-21,-80,23,49395
Zerg Rush,08-30-21,1692,54,48989
Zerg Rush,08-30-21,0,2,48998
Zerg Rush,08-31-21,72,6,48937
Zerg Rush,08-31-21,1206,16,48956
Letter Game,08-31-21,-3170,38,49004
Zerg Rush,08-31-21,1368,20,49072
Zerg Rush,08-31-21,506,110,49186
Letter Game,08-31-21,269,6,49205
Letter Game,08-31-21,-2060,34,49276
Letter Game,09-01-21,0,69,49210
Zerg Rush,09-01-21,738,12,49260
Letter Game,09-01-21,740,74,49353
Zerg Rush,09-02-21,2196,28,48703
Zerg Rush,09-02-21,1348,110,48847
Zerg Rush,09-02-21,2052,24,48883
Zerg Rush,09-02-21,1710,55,48955
Zerg Rush,09-02-21,1638,23,49010
Zerg Rush,09-02-21,1560,262,49289
Zerg Rush,09-02-21,0,1,49317
Zerg Rush,09-02-21,0,1,49320
Zerg Rush,09-02-21,2124,26,49349
Zerg Rush,09-03-21,2556,26,48637
Zerg Rush,09-03-21,1210,233,48914
Zerg Rush,09-03-21,1656,24,48979
Zerg Rush,09-03-21,926,188,49227
Zerg Rush,09-03-21,2313,65,49359
Zerg Rush,09-07-21,2178,29,49109
Zerg Rush,09-07-21,1512,257,49378
Zerg Rush,09-08-21,1534,264,48990
Zerg Rush,09-08-21,2124,28,49051
Zerg Rush,09-09-21,1908,26,49716
Zerg Rush,09-09-21,1260,22,49745
Zerg Rush,09-09-21,1474,258,50031
Zerg Rush,09-10-21,2358,28,48865
Zerg Rush,09-10-21,2196,149,49030
Zerg Rush,09-10-21,2204,143,49219
Zerg Rush,09-13-21,1696,281,49161
Zerg Rush,09-14-21,2104,312,49265
Zerg Rush,09-14-21,1818,26,49314
Zerg Rush,09-14-21,2286,29,49367
Zerg Rush,09-15-21,1630,276,49200
Zerg Rush,09-15-21,2700,29,49256
Zerg Rush,09-15-21,1876,139,49409
Zerg Rush,09-16-21,1698,286,49418
Zerg Rush,09-17-21,1556,273,49341
Zerg Rush,09-20-21,1794,282,49311
Zerg Rush,09-21-21,1364,241,49083
Zerg Rush,09-21-21,2088,25,49155
Zerg Rush,09-21-21,1584,24,49186
Zerg Rush,09-22-21,1370,243,49002
Zerg Rush,09-22-21,1368,242,49276
Zerg Rush,09-22-21,670,136,49422
