Lesson,Accuracy,WPM,Idle Time

Day 12 - Part 6,94.1,13,0
Day 12 - Part 7,93.8,12,0
Day 13 - Part 1,91.6,7,2
Day 13 - Part 2 - Learn X,96.7,15,0
Day 13 - Part 3 - Learn M,94.1,18,0
Day 13 - Part 4,91.0,7,0
Day 13 - Part 5,85.8,2,0
Day 13 - Part 6,92.6,8,0
Day 13 - Part 5,92.9,8,0
Day 13 - Part 4,94.8,11,2
Day 13 - Part 1,93.5,11,0
