Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,89.5,6,0
Day 09 - Part 6,100.0,20,0
Day 10 - Part 1,91.8,10,0
Day 10 - Part 2 - Learn G,89.5,7,0
Day 10 - Part 3 - Learn Right Shift,81.9,-1,1
Day 10 - Part 4,92.3,8,0
Day 10 - Part 5,92.2,12,0
Day 10 - Part 3 - Learn Right Shift,96.1,13,0
Day 09 - Part 1,94.1,12,0
Day 10 - Part 2 - Learn G,98.7,20,0
Day 10 - Part 1,96.2,15,4
Day 10 - Part 5,96.8,18,0
Day 10 - Part 4,96.8,12,0
Day 09 - Part 1,94.1,12,0
Day 09 - Part 1,97.4,15,0
