Lesson,Accuracy,WPM,Idle Time

Day 13 - Part 4,91.0,9,0
Day 13 - Part 6,88.8,7,0
Day 14 - Part 1,89.0,6,0
Day 14 - Part 2,91.1,9,0
Day 14 - Part 3 - Learn Z,90.8,8,0
Day 14 - Part 4 - Learn Y,94.1,13,0
Day 14 - Part 5,89.5,5,1
Day 14 - Part 6,86.4,3,0
Day 14 - Part 6,86.6,3,0
Day 14 - Part 6,87.2,4,0
Day 14 - Part 2,91.9,12,0
Day 14 - Part 6,88.4,5,0
Day 13 - Part 6,87.3,4,0
