Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,96.3,23,0
Day 01 - Part 2 - Learn Home Row,93.8,19,0
Day 02 - Part 4,91.7,11,0
Day 02 - Part 5,100.0,24,0
Day 03 - Part 1,90.5,11,0
Day 03 - Part 2 - Learn R,85.0,1,1
Day 03 - Part 3 - Learn O,91.9,9,0
Day 03 - Part 4,88.2,5,0
Day 03 - Part 5,87.3,5,0
Day 03 - Part 2 - Learn R,92.8,13,0
Day 03 - Part 5,92.5,11,0
Day 03 - Part 4,84.3,1,0
Day 03 - Part 4,89.5,8,0
Day 03 - Part 4,92.2,12,0
