Lesson,Accuracy,WPM,Idle Time

Day 09 - Part 1,85.6,2,1
Day 09 - Part 2,88.2,5,0
Day 09 - Part 3,86.4,4,0
Day 09 - Part 4 - Learn W,87.6,6,0
Day 09 - Part 5 - Learn N,94.8,16,0
Day 09 - Part 6,88.2,5,0
Day 09 - Part 7,88.4,6,1
Day 09 - Part 8,89.5,8,0
Day 09 - Part 9,85.1,1,0
Day 09 - Part 9,90.3,7,1
Day 09 - Part 5 - Learn N,100.0,24,10
Day 09 - Part 1,100.0,30,3
Day 09 - Part 3,96.1,19,8
