Lesson,Accuracy,WPM,Idle Time

Scripture - 1 Min - Novice - John 3 v 16,92.3,15,1
Scripture - 1 Min - Novice - Hebrews 11 v 1,97.3,31,0
Scripture - 3 Min - Novice - 1 Cor 13 v 4-7,91.4,13,0
Scripture - 3 Min - Novice - Psalm 23,95.8,22,0
Scripture - 3 Min - Novice - Eph 2 v 4-10,77.0,-14,0
