Lesson,Accuracy,WPM,Idle Time

Day 05 - Part 4,95.4,57,0
Day 05 - Part 5,98.0,77,0
Day 05 - Part 6,100.0,91,0
Day 06 - Part 1,95.4,51,0
Day 06 - Part 2 - Learn Left Shift,96.0,39,0
Day 06 - Part 3 - Learn Period,96.7,36,0
Day 06 - Part 4,87.2,11,0
Day 06 - Part 5,97.3,47,7
Day 06 - Part 4,97.0,52,0
Day 06 - Part 1,100.0,102,0
Day 05 - Part 4,100.0,101,0
Day 06 - Part 2 - Learn Left Shift,100.0,64,0
Day 06 - Part 3 - Learn Period,100.0,52,1
Day 06 - Part 4,100.0,72,0
Day 06 - Part 5,99.8,83,0
Day 05 - Part 5,100.0,114,0
Day 06 - Part 5,100.0,89,1
