Part,Part,Backspace,Forced100,Time

1,Lesson 20 - Part 1,1,0,180
2,Lesson 20 - Part 2,1,0,180
3,Lesson 20 - Part 3,1,0,180
4,Lesson 20 - Part 4,1,0,180
5,Lesson 20 - Part 5,1,0,180
6,Lesson 20 - Part 6,1,0,180
7,Lesson 20 - Part 7,1,0,180
8,Lesson 20 - Part 8,1,0,180
9,Lesson 20 - Part 9,1,0,180
