Part,Part,Backspace,Forced100,Time

1,Lesson 29 - Part 1,0,0,180
2,Lesson 29 - Part 2 - Learn Dollar Sign,0,0,180
3,Lesson 29 - Part 3 - Learn Forward Slash,0,0,180
4,Lesson 29 - Part 4,0,0,180
5,Lesson 29 - Part 5,0,0,180
6,Lesson 29 - Part 6,0,0,180
7,Lesson 28 - Part 5 - Left Hand,0,0,180
8,Lesson 28 - Part 6 - Right Hand,0,0,180
