Part,Part,Backspace,Forced100,Time

1,Lesson 20 - Part 1,0,0,180
2,Lesson 20 - Part 2,0,0,180
3,Lesson 20 - Part 3,0,0,180
4,Lesson 20 - Part 4,0,0,180
5,Lesson 20 - Part 5,0,0,180
6,Lesson 20 - Part 6,0,0,180
7,Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,0,0,60
8,Scripture - 1 Min - Novice - Acts 1 v 9-11,0,0,60
