Part,Part,Backspace,Forced100,Time

1,Lesson 29 - Part 4,0,0,180
2,Lesson 30 - Part 1,0,0,180
3,Lesson 30 - Part 2 - Learn Percent Sign,0,0,180
4,Lesson 30 - Part 3 - Learn Hyphen,0,0,180
5,Lesson 30 - Part 4,0,0,180
6,Lesson 30 - Part 5,0,0,180
