Part,Part,Backspace,Forced100,Time

1,Lesson 09 - Part 1,0,0,180
2,Lesson 09 - Part 6,0,1,180
3,Lesson 10 - Part 1,0,0,180
4,Lesson 10 - Part 2 - Learn G,0,0,180
5,Lesson 10 - Part 3 - Learn Right Shift,0,0,180
6,Lesson 10 - Part 4,0,0,180
7,Lesson 10 - Part 5,0,0,180
