Part,Part,Backspace,Forced100,Time

1,Lesson 09 - Part 1,0,0,180
2,Lesson 09 - Part 2,0,0,180
3,Lesson 09 - Part 3,0,0,180
4,Lesson 09 - Part 4 - Learn W,0,0,180
5,Lesson 09 - Part 5 - Learn N,0,0,180
6,Lesson 09 - Part 6,0,0,180
7,Lesson 09 - Part 7,0,0,180
8,Lesson 09 - Part 8,0,0,180
9,Lesson 09 - Part 9,0,0,180
