Part,Part,Backspace,Forced100,Time

1,Lesson 32 - Part 5,0,0,180
2,Lesson 33 - Part 3,0,0,180
3,Lesson 34 - Part 1 - Learn Exclamation Point,0,0,180
4,Lesson 34 - Part 2 - Learn Less Than,0,0,180
5,Lesson 34 - Part 3 - Learn Greater Than,0,0,180
