Part,Part,Backspace,Forced100,Time

1,Lesson 31 - Part 5,0,0,180
2,Lesson 32 - Part 1,0,0,180
3,Lesson 32 - Part 2,0,0,180
4,Lesson 32 - Part 3 - Learn Open Parentheses,0,0,180
5,Lesson 32 - Part 4 - Learn Close Parentheses,0,0,180
6,Lesson 32 - Part 5,0,0,180
7,Lesson 32 - Part 6,0,0,180
8,Lesson 32 - Part 7,0,0,180
9,Lesson 32 - Part 8,0,0,180
