Part,Part,Backspace,Forced100,Time

1,Lesson 04 - Part 6,0,0,120
2,Lesson 04 - Part 7,0,1,120
3,Lesson 05 - Part 1,0,0,180
4,Lesson 05 - Part 2 - Learn T,0,0,180
5,Lesson 05 - Part 3 - Learn I,0,0,180
6,Lesson 05 - Part 4,0,0,180
7,Lesson 05 - Part 5,0,0,180
8,Lesson 05 - Part 6,0,0,180
9,Lesson 05 - Part 7,0,0,180
