Part,Part,Backspace,Forced100,Time
,,,,
1,Lesson 23 - Part 2 - Learn 1,0,0,60
2,Lesson 23 - Part 3 - Learn 7,0,0,60
3,Lesson 23 - Part 4,0,0,60
4,Lesson 24 - Part 2 - Learn 4,0,0,60
5,Lesson 24 - Part 3 - Learn 8,0,0,60
6,Lesson 24 - Part 4,0,0,60
7,Lesson 25 - Part 2 - Learn 5,0,0,60
8,Lesson 25 - Part 3 - Learn 9,0,0,60
9,Lesson 25 - Part 4,0,0,60
10,Lesson 26 - Part 2 - Learn 3,0,0,60
11,Lesson 26 - Part 3 - Learn 0,0,0,60
12,Lesson 26 - Part 4,0,0,60
13,Lesson 27 - Part 3 - Learn 2,0,0,60
14,Lesson 27 - Part 4 - Learn 6,0,0,60
15,Lesson 27 - Part 5,0,0,60
16,Lesson 28 - Part 5 - Left Hand,0,0,60
17,Lesson 28 - Part 6 - Right Hand,0,0,60
