Lesson,Accuracy,WPM,IdleTime

Three Minute File 01,92.4,17,0
Three Minute File 02,94.7,24,0
Three Minute File 03,95.0,24,0
Three Minute File 04,94.8,23,0
Three Minute File 05,96.8,29,0
Three Minute File 06,96.1,29,0
Three Minute File 07,94.7,23,0
Three Minute File 08,92.7,19,0
Three Minute File 09,93.2,19,0
Three Minute File 10,93.2,21,0
