Date,Score,Errors,Letters Left

09/24/2020,0,549,82
10/01/2020,20689,11,0
10/01/2020,0,137,94
10/02/2020,20188,12,0
10/02/2020,24030,370,0
10/02/2020,19986,14,0
10/07/2020,23877,423,0
10/14/2020,20497,3,0
